title_primary,title_searchable,platform,platform_short,release_year,genre_primary,developer,alternative_names,series,folder_patterns
Xenoblade Chronicles Definitive,xenoblade chronicles definitive,Switch,Switch,2020,RPG,Monolith Soft,XCDE,Xenoblade,xenoblade.chronicles.definitive.edition|xcde
Animal Crossing New Horizons,animal crossing new horizons,Switch,Switch,2020,Simulation,Nintendo EPD,ACNH,Animal Crossing,animal.crossing.new.horizons|acnh
Animal Crossing New Leaf,animal crossing new leaf,3DS,3DS,2012,Simulation,Nintendo EAD,ACNL,Animal Crossing,animal.crossing.new.leaf|acnl
Animal Crossing Wild World,animal crossing wild world,DS,DS,2005,Simulation,Nintendo EAD,ACWW,Animal Crossing,animal.crossing.wild.world|acww
Splatoon 3,splatoon 3,Switch,Switch,2022,Shooter,Nintendo,,Splatoon,splatoon.3
Splatoon 2,splatoon 2,Switch,Switch,2017,Shooter,Nintendo,,Splatoon,splatoon.2
Splatoon,splatoon,Wii U,WiiU,2015,Shooter,Nintendo,Splatoon 1,Splatoon,splatoon|splatoon.1
Pikmin 4,pikmin 4,Switch,Switch,2023,Strategy,Nintendo,,Pikmin,pikmin.4
Pikmin 3,pikmin 3,Wii U,WiiU,2013,Strategy,Nintendo,,Pikmin,pikmin.3
Pikmin 2,pikmin 2,GC,GC,2004,Strategy,Nintendo,,Pikmin,pikmin.2
Pikmin,pikmin,GC,GC,2001,Strategy,Nintendo,Pikmin 1,Pikmin,pikmin|pikmin.1
ARMS,arms,Switch,Switch,2017,Fighting,Nintendo,,ARMS,arms
Ring Fit Adventure,ring fit adventure,Switch,Switch,2019,Fitness,Nintendo EPD,Ring Fit,Ring Fit,ring.fit.adventure|ring.fit
Wii Sports,wii sports,Wii,Wii,2006,Sports,Nintendo EAD,WiiSports,Wii Sports,wii.sports|wiisports
Wii Sports Resort,wii sports resort,Wii,Wii,2009,Sports,Nintendo,WiiSports Resort,Wii Sports,wii.sports.resort
Super Mario 3D All-Stars,super mario 3d all stars,Switch,Switch,2020,Compilation,Nintendo,Mario 3D All-Stars,Super Mario,super.mario.3d.all.stars|mario.3d.all.stars
Super Mario All-Stars,super mario all stars,SNES,SNES,1993,Compilation,Nintendo EAD,,Super Mario,super.mario.all.stars|mario.all.stars
